Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Cost Value
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2023 - June 2023,0.8215825031497709
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2023 - June 2023,5.371155705697767
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2023 - June 2023,2.628771160470145
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2023 - June 2023,103.14368142857143
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Apr 2023 - June 2023,128.25386780821918
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Apr 2023 - June 2023,8.10281506849315
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Apr 2023 - June 2023,1.2335357789287102
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2023 - June 2023,21.042575641812995
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2023 - June 2023,14.72307486137447
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2024 - June 2024,0.0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2024 - June 2024,7.637609633134826
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2024 - June 2024,2.7081912684354243
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2024 - June 2024,120.5856757142857
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Apr 2024 - June 2024,133.57645450097846
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Apr 2024 - June 2024,8.439085127201565
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Apr 2024 - June 2024,1.3304362366203542
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2024 - June 2024,22.20178074250709
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2024 - June 2024,11.787741363916975
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2025 - June 2025,0.0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2025 - June 2025,7.487417792643415
