Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2023 - June 2023,01/04/2023,01/06/2023,0.821582503
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2023 - June 2023,01/04/2023,01/06/2023,5.371155706
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2023 - June 2023,01/04/2023,01/06/2023,2.62877116
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2023 - June 2023,01/04/2023,01/06/2023,103.1436814
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Apr 2023 - June 2023,01/04/2023,01/06/2023,128.2538678
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Apr 2023 - June 2023,01/04/2023,01/06/2023,8.102815068
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Apr 2023 - June 2023,01/04/2023,01/06/2023,1.233535779
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2023 - June 2023,01/04/2023,01/06/2023,21.04257564
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2023 - June 2023,01/04/2023,01/06/2023,14.72307486
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2024 - June 2024,01/04/2024,01/06/2024,0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2024 - June 2024,01/04/2024,01/06/2024,7.637609633
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2024 - June 2024,01/04/2024,01/06/2024,2.708191268
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2024 - June 2024,01/04/2024,01/06/2024,120.5856757
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Apr 2024 - June 2024,01/04/2024,01/06/2024,133.5764545
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Apr 2024 - June 2024,01/04/2024,01/06/2024,8.439085127
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Apr 2024 - June 2024,01/04/2024,01/06/2024,1.330436237
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2024 - June 2024,01/04/2024,01/06/2024,22.20178074
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2024 - June 2024,01/04/2024,01/06/2024,11.78774136
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2025 - June 2025,01/04/2025,01/06/2025,0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2025 - June 2025,01/04/2025,01/06/2025,7.487417793
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2025 - June 2025,01/04/2025,01/06/2025,2.8753243
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2025 - June 2025,01/04/2025,01/06/2025,95.20248071
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Apr 2025 - June 2025,01/04/2025,01/06/2025,138.2848966
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Apr 2025 - June 2025,01/04/2025,01/06/2025,8.736554795
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Apr 2025 - June 2025,01/04/2025,01/06/2025,1.25732084
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2025 - June 2025,01/04/2025,01/06/2025,24.95628927
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2025 - June 2025,01/04/2025,01/06/2025,15.66603926
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Apr 2026 - June 2026,01/04/2026,01/06/2026,0
Direct Debit,Dual Fuel (implied),Standing Charge,CO,Apr 2026 - June 2026,01/04/2026,01/06/2026,122.2690486
Direct Debit,Dual Fuel (implied),Standing Charge,DRC,Apr 2026 - June 2026,01/04/2026,01/06/2026,9.419030086
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Apr 2026 - June 2026,01/04/2026,01/06/2026,7.85691231
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Apr 2026 - June 2026,01/04/2026,01/06/2026,2.410572604
Direct Debit,Dual Fuel (implied),Standing Charge,IC,Apr 2026 - June 2026,01/04/2026,01/06/2026,20.6664233
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Apr 2026 - June 2026,01/04/2026,01/06/2026,123.6235186
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Apr 2026 - June 2026,01/04/2026,01/06/2026,10.63833447
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Apr 2026 - June 2026,01/04/2026,01/06/2026,-6.204396415
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,4.894894923
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,2.536033171
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,84.41146429
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,123.3407109
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,7.792411937
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,1.117645443
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,22.59385276
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Jan 2023 - Mar 2023,01/01/2023,01/03/2023,13.47496195
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,0.821582503
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,6.749058249
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,2.672227579
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,103.1436814
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,132.4505227
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,8.367951076
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,1.239234973
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,21.04257564
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Jan 2024 - Mar 2024,01/01/2024,01/03/2024,11.84581409
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,0
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,8.167756136
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,2.809495204
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,120.5856757
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,136.1353904
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,8.600753425
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,1.358327685
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,22.20178074
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Jan 2025 - Mar 2025,01/01/2025,01/03/2025,15.42829428
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,0
Direct Debit,Dual Fuel (implied),Standing Charge,CO,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,120.9580867
Direct Debit,Dual Fuel (implied),Standing Charge,DRC,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,9.769719892
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,7.885087842
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,2.992419991
Direct Debit,Dual Fuel (implied),Standing Charge,IC,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,20.89930747
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,95.20248071
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,48.82780992
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Jan 2026 - Mar 2026,01/01/2026,01/03/2026,-3.9537
Direct Debit,Dual Fuel (implied),Standing Charge,AA,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,0.821582503
Direct Debit,Dual Fuel (implied),Standing Charge,EBIT,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,5.371155706
Direct Debit,Dual Fuel (implied),Standing Charge,HAP,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,2.62877116
Direct Debit,Dual Fuel (implied),Standing Charge,NC,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,103.1436814
Direct Debit,Dual Fuel (implied),Standing Charge,OC,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,128.2538678
Direct Debit,Dual Fuel (implied),Standing Charge,PAAC,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,8.102815068
Direct Debit,Dual Fuel (implied),Standing Charge,PAP,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,1.233535779
Direct Debit,Dual Fuel (implied),Standing Charge,PC,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,21.04257564
Direct Debit,Dual Fuel (implied),Standing Charge,SMNCC,Jul 2023 - Sept 2023,01/07/2023,01/09/2023,14.72307486
