Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Gas,UR,Gas Transmission ,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Gas,UR,Gas Distribution ,October 2022 - December 2022,2022-10-01,2022-12-01,0.0
All,Gas,UR,Gas Transmission ,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Gas,UR,Gas Distribution ,January 2023 - March 2023,2023-01-01,2023-03-01,0.0
All,Gas,UR,Gas Transmission ,April 2023 - June 2023,2023-04-01,2023-06-01,0.0
All,Gas,UR,Gas Distribution ,April 2023 - June 2023,2023-04-01,2023-06-01,0.0
All,Gas,UR,Gas Transmission ,July 2023 - September 2023,2023-07-01,2023-09-01,11.224859841051341
All,Gas,UR,Gas Distribution ,July 2023 - September 2023,2023-07-01,2023-09-01,147.20393098136236
All,Electricity - Single-Rate,SC,TNUoS,July 2023 - September 2023,2023-07-01,2023-09-01,43.53135999999999
All,Electricity - Single-Rate,UR,TNUoS,July 2023 - September 2023,2023-07-01,2023-09-01,1.6992154562979849
All,Electricity - Multi-Register,SC,TNUoS,July 2023 - September 2023,2023-07-01,2023-09-01,43.53135999999999
All,Electricity - Multi-Register,UR,TNUoS,July 2023 - September 2023,2023-07-01,2023-09-01,1.7516798285691095
All,Electricity - Single Rate,SC,DUoS,July 2023 - September 2023,2023-07-01,2023-09-01,59.612321428571434
All,Electricity - Single Rate,UR,DUoS,July 2023 - September 2023,2023-07-01,2023-09-01,58.77302116697119
All,Electricity - Multi-Register,SC,DUoS,July 2023 - September 2023,2023-07-01,2023-09-01,59.612321428571434
All,Electricity - Multi-Register,UR,DUoS,July 2023 - September 2023,2023-07-01,2023-09-01,63.49294426979215
All,Electricity - Single Rate,UR,BSUoS,July 2023 - September 2023,2023-07-01,2023-09-01,68.58256857795335
All,Electricity - Multi-Register,UR,BSUoS,July 2023 - September 2023,2023-07-01,2023-09-01,91.79350671669974
All,Gas,UR,Gas Transmission ,October 2023 - December 2023,2023-10-01,2023-12-01,13.504859817596701
All,Gas,UR,Gas Distribution ,October 2023 - December 2023,2023-10-01,2023-12-01,147.20393098136236
All,Electricity - Single-Rate,SC,TNUoS,October 2023 - December 2023,2023-10-01,2023-12-01,43.53135999999999
All,Electricity - Single-Rate,UR,TNUoS,October 2023 - December 2023,2023-10-01,2023-12-01,1.6468572799779722
All,Electricity - Multi-Register,SC,TNUoS,October 2023 - December 2023,2023-10-01,2023-12-01,43.53135999999999
All,Electricity - Multi-Register,UR,TNUoS,October 2023 - December 2023,2023-10-01,2023-12-01,1.7803657777948985
All,Electricity - Single Rate,SC,DUoS,October 2023 - December 2023,2023-10-01,2023-12-01,59.612321428571434
All,Electricity - Single Rate,UR,DUoS,October 2023 - December 2023,2023-10-01,2023-12-01,57.71056923786327
All,Electricity - Multi-Register,SC,DUoS,October 2023 - December 2023,2023-10-01,2023-12-01,59.612321428571434
All,Electricity - Multi-Register,UR,DUoS,October 2023 - December 2023,2023-10-01,2023-12-01,64.48537630199304
All,Electricity - Single Rate,UR,BSUoS,October 2023 - December 2023,2023-10-01,2023-12-01,70.68975060443543
All,Electricity - Multi-Register,UR,BSUoS,October 2023 - December 2023,2023-10-01,2023-12-01,94.6644866647347
All,Gas,UR,Gas Transmission ,January 2024 - March 2024,2024-01-01,2024-03-01,13.504859817596701
All,Gas,UR,Gas Distribution ,January 2024 - March 2024,2024-01-01,2024-03-01,147.20393098136236
All,Electricity - Single-Rate,SC,TNUoS,January 2024 - March 2024,2024-01-01,2024-03-01,43.53135999999999
All,Electricity - Single-Rate,UR,TNUoS,January 2024 - March 2024,2024-01-01,2024-03-01,1.6468572799779722
All,Electricity - Multi-Register,SC,TNUoS,January 2024 - March 2024,2024-01-01,2024-03-01,43.53135999999999
All,Electricity - Multi-Register,UR,TNUoS,January 2024 - March 2024,2024-01-01,2024-03-01,1.7803657777948985
All,Electricity - Single Rate,SC,DUoS,January 2024 - March 2024,2024-01-01,2024-03-01,59.612321428571434
All,Electricity - Single Rate,UR,DUoS,January 2024 - March 2024,2024-01-01,2024-03-01,57.71056923786327
All,Electricity - Multi-Register,SC,DUoS,January 2024 - March 2024,2024-01-01,2024-03-01,59.612321428571434
All,Electricity - Multi-Register,UR,DUoS,January 2024 - March 2024,2024-01-01,2024-03-01,64.48537630199304
All,Electricity - Single Rate,UR,BSUoS,January 2024 - March 2024,2024-01-01,2024-03-01,70.68975060443543
All,Electricity - Multi-Register,UR,BSUoS,January 2024 - March 2024,2024-01-01,2024-03-01,94.6644866647347
All,Gas,UR,Gas Transmission ,April 2024 - June 2024,2024-04-01,2024-06-01,12.676408068634846
All,Gas,UR,Gas Distribution ,April 2024 - June 2024,2024-04-01,2024-06-01,150.4446210624382
All,Electricity - Single-Rate,SC,TNUoS,April 2024 - June 2024,2024-04-01,2024-06-01,38.173890000000014
All,Electricity - Single-Rate,UR,TNUoS,April 2024 - June 2024,2024-04-01,2024-06-01,1.7649160696241992
All,Electricity - Multi-Register,SC,TNUoS,April 2024 - June 2024,2024-04-01,2024-06-01,38.173890000000014
All,Electricity - Multi-Register,UR,TNUoS,April 2024 - June 2024,2024-04-01,2024-06-01,1.9079893200230131
All,Electricity - Single Rate,SC,DUoS,April 2024 - June 2024,2024-04-01,2024-06-01,82.41178571428573
All,Electricity - Single Rate,UR,DUoS,April 2024 - June 2024,2024-04-01,2024-06-01,62.17504900250454
All,Electricity - Multi-Register,SC,DUoS,April 2024 - June 2024,2024-04-01,2024-06-01,82.41178571428573
All,Electricity - Multi-Register,UR,DUoS,April 2024 - June 2024,2024-04-01,2024-06-01,69.58715040972162
All,Electricity - Single Rate,UR,BSUoS,April 2024 - June 2024,2024-04-01,2024-06-01,32.36216949301111
All,Electricity - Multi-Register,UR,BSUoS,April 2024 - June 2024,2024-04-01,2024-06-01,43.28287023064704
All,Gas,UR,Gas Transmission ,July 2024 - September 2024,2024-07-01,2024-09-01,12.676408068634846
All,Gas,UR,Gas Distribution ,July 2024 - September 2024,2024-07-01,2024-09-01,150.4446210624382
All,Electricity - Single-Rate,SC,TNUoS,July 2024 - September 2024,2024-07-01,2024-09-01,38.173890000000014
All,Electricity - Single-Rate,UR,TNUoS,July 2024 - September 2024,2024-07-01,2024-09-01,1.7649160696241992
All,Electricity - Multi-Register,SC,TNUoS,July 2024 - September 2024,2024-07-01,2024-09-01,38.173890000000014
All,Electricity - Multi-Register,UR,TNUoS,July 2024 - September 2024,2024-07-01,2024-09-01,1.9079893200230131
All,Electricity - Single Rate,SC,DUoS,July 2024 - September 2024,2024-07-01,2024-09-01,82.41178571428573
All,Electricity - Single Rate,UR,DUoS,July 2024 - September 2024,2024-07-01,2024-09-01,62.17504900250454
All,Electricity - Multi-Register,SC,DUoS,July 2024 - September 2024,2024-07-01,2024-09-01,82.41178571428573
