Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
Direct Debit,Electricity Single Rate,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,161.14204259689222
Standard Credit,Electricity Single Rate,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,182.1478421922848
PPM,Electricity Single Rate,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,178.7098686130055
Direct Debit,Electricity - Multi-Register,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,161.46021534776852
Standard Credit,Electricity - Multi-Register,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,182.42892712636078
PPM,Electricity - Multi-Register,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,179.03718071727954
Direct Debit,Gas,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,99.01993273246715
Standard Credit,Gas,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,116.5835314884523
PPM,Gas,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,130.38649111959694
Direct Debit,Dual Fuel,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,273.1700740958274
Standard Credit,Dual Fuel,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,313.6679423647739
PPM,Dual Fuel,Total SC,Total,October 2022 - December 2022,2022-10-01,2022-12-01,324.55117771923256
Direct Debit,Electricity Single Rate,Total UR,Total,October 2022 - December 2022,2022-10-01,2022-12-01,1531.877230049641
Standard Credit,Electricity Single Rate,Total UR,Total,October 2022 - December 2022,2022-10-01,2022-12-01,1613.4775018726407
PPM,Electricity Single Rate,Total UR,Total,October 2022 - December 2022,2022-10-01,2022-12-01,1503.5129870970911
Direct Debit,Electricity - Multi-Register,Total UR,Total,October 2022 - December 2022,2022-10-01,2022-12-01,1961.9010807692162
Standard Credit,Electricity - Multi-Register,Total UR,Total,October 2022 - December 2022,2022-10-01,2022-12-01,2065.723396004856
