Fuel Type,Allowance,Charge Type,October 2022 - December 2022,January 2023 - March 2023,April 2023 - June 2023,July 2023 - September 2023,October 2023 - December 2023,January 2024 - March 2024,April 2024 - June 2024,July 2024 - September 2024,October 2024 - December 2024,January 2025 - March 2025,April 2025 - June 2025,July 2025 - September 2025,October 2025 - December 2025,January 2026 - March 2026,April 2026 - June 2026,Allowance Value,Payment Method,Tab Category,Cap Period,Start Date,End Date,Subtotal (UR/SC),Total Bill,% of Subtotal,% of Total Bill
Dual Fuel (implied),CO,Standing Charge,,,,,,,,,,,,,,,,122.27,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,38.85%,7.35%
Dual Fuel (implied),DRC,Standing Charge,,,,,,,,,,,,,,,,9.42,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,2.99%,0.57%
Dual Fuel (implied),EBIT,Standing Charge,,,,,,,,,,,,,,,,7.83,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,2.49%,0.47%
Dual Fuel (implied),HAP,Standing Charge,,,,,,,,,,,,,,,,2.41,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,0.77%,0.14%
Dual Fuel (implied),IC,Standing Charge,,,,,,,,,,,,,,,,20.67,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,6.57%,1.24%
Dual Fuel (implied),SMNCC,Standing Charge,,,,,,,,,,,,,,,,-6.2,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,314.73035894388255,1663.3656572115697,-1.97%,-0.37%
Dual Fuel (implied),CO,Unit Rate,,,,,,,,,,,,,,,,78.24,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,5.8%,4.7%
Dual Fuel (implied),DRC,Unit Rate,,,,,,,,,,,,,,,,39.89,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,2.96%,2.4%
Dual Fuel (implied),EBIT,Unit Rate,,,,,,,,,,,,,,,,34.78,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,2.58%,2.09%
Dual Fuel (implied),HAP,Unit Rate,,,,,,,,,,,,,,,,14.32,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,1.06%,0.86%
Dual Fuel (implied),IC,Unit Rate,,,,,,,,,,,,,,,,13.36,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,0.99%,0.8%
Dual Fuel (implied),SMNCC,Unit Rate,,,,,,,,,,,,,,,,-2.79,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,1348.6352982676872,1663.3656572115697,-0.21%,-0.17%
Dual Fuel (implied),CO,Standing Charge,,,,,,,,,,,,,,,,188.6,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),DRC,Standing Charge,,,,,,,,,,,,,,,,12.34,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),EBIT,Standing Charge,,,,,,,,,,,,,,,,9.49,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),HAP,Standing Charge,,,,,,,,,,,,,,,,3.33,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),IC,Standing Charge,,,,,,,,,,,,,,,,20.67,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),SMNCC,Standing Charge,,,,,,,,,,,,,,,,-14.22,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),CO,Unit Rate,,,,,,,,,,,,,,,,74.94,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),DRC,Unit Rate,,,,,,,,,,,,,,,,6.16,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),EBIT,Unit Rate,,,,,,,,,,,,,,,,33.43,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),HAP,Unit Rate,,,,,,,,,,,,,,,,13.79,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),IC,Unit Rate,,,,,,,,,,,,,,,,13.36,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),SMNCC,Unit Rate,,,,,,,,,,,,,,,,0.0,PPM,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),CO,Standing Charge,,,,,,,,,,,,,,,,162.59,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),DRC,Standing Charge,,,,,,,,,,,,,,,,32.2,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),EBIT,Standing Charge,,,,,,,,,,,,,,,,9.23,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),HAP,Standing Charge,,,,,,,,,,,,,,,,3.35,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),IC,Standing Charge,,,,,,,,,,,,,,,,20.67,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),SMNCC,Standing Charge,,,,,,,,,,,,,,,,-6.2,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),CO,Unit Rate,,,,,,,,,,,,,,,,78.24,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),DRC,Unit Rate,,,,,,,,,,,,,,,,108.22,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),EBIT,Unit Rate,,,,,,,,,,,,,,,,35.23,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),HAP,Unit Rate,,,,,,,,,,,,,,,,15.32,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),IC,Unit Rate,,,,,,,,,,,,,,,,13.36,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Dual Fuel (implied),SMNCC,Unit Rate,,,,,,,,,,,,,,,,-2.79,Standard Credit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,0.0,0.0,0.0%,0.0%
Electricity Multi-Register,TNUoS,Standing Charge,0.0,0.0,0.0,43.53135999999999,43.53135999999999,43.53135999999999,38.173890000000014,38.173890000000014,38.173890000000014,38.173890000000014,49.290695000000014,49.290695000000014,49.290695000000014,49.290695000000014,81.23658999999999,81.24,Direct Debit,Network Costs,,,,197.96075503821666,989.3661120716071,41.04%,8.21%
Electricity Multi-Register,DUoS,Standing Charge,0.0,0.0,0.0,59.612321428571434,59.612321428571434,59.612321428571434,82.41178571428573,82.41178571428573,82.41178571428573,82.41178571428573,45.91178571428571,45.91178571428571,45.91178571428571,45.91178571428571,42.38692857142858,42.39,Direct Debit,Network Costs,,,,197.96075503821666,989.3661120716071,21.41%,4.28%
Electricity Multi-Register,CO,Standing Charge,,,,,,,,,,,,,,,,47.39,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,23.94%,4.79%
Electricity Multi-Register,DRC,Standing Charge,,,,,,,,,,,,,,,,6.26,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,3.16%,0.63%
Electricity Multi-Register,EBIT,Standing Charge,,,,,,,,,,,,,,,,4.75,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,2.4%,0.48%
Electricity Multi-Register,HAP,Standing Charge,,,,,,,,,,,,,,,,1.01,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,0.51%,0.1%
Electricity Multi-Register,IC,Standing Charge,,,,,,,,,,,,,,,,9.59,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,4.85%,0.97%
Electricity Multi-Register,SMNCC,Standing Charge,,,,,,,,,,,,,,,,-2.11,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,197.96075503821666,989.3661120716071,-1.07%,-0.21%
Electricity Multi-Register,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,Direct Debit,Policy Cost Allowances,,,,197.96075503821666,989.3661120716071,1.72%,0.34%
Electricity Multi-Register,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,Direct Debit,Policy Cost Allowances,,,,197.96075503821666,989.3661120716071,1.72%,0.34%
Electricity Multi-Register,WHD,Standing Charge,9.950486379774244,9.950486379774244,10.2986378209065,10.2986378209065,10.2986378209065,10.2986378209065,10.909265371253545,10.909265371253545,10.909265371253545,10.909265371253545,10.979819636605352,10.979819636605352,19.505362726406553,22.915579962327037,3.4102172359204843,3.41,Direct Debit,Policy Cost Allowances,,,,197.96075503821666,989.3661120716071,1.72%,0.34%
Electricity Multi-Register,GGL,Standing Charge,2.6928799999999997,2.6928799999999997,0.44530000000000003,0.44530000000000003,0.44530000000000003,0.44530000000000003,0.38325,0.38325,0.38325,0.38325,2.99665,2.99665,2.99665,2.99665,3.8179000000000003,3.82,Direct Debit,Policy Cost Allowances,,,,197.96075503821666,989.3661120716071,1.93%,0.39%
Electricity Multi-Register,TNUoS,Unit Rate,0.0,0.0,0.0,1.7516798285691095,1.7803657777948985,1.7803657777948985,1.9079893200230131,1.9079893200230131,1.9167885133337492,1.9167885133337492,2.439739242142956,2.439739242142956,2.4623494473577026,2.325988781376708,2.417428993514818,2.11,Direct Debit,Network Costs,,,,791.4053570333904,989.3661120716071,0.27%,0.21%
Electricity Multi-Register,DUoS,Unit Rate,0.0,0.0,0.0,63.49294426979215,64.48537630199304,64.48537630199304,69.58715040972162,69.58715040972162,69.38794152267316,69.38794152267316,90.02116030277148,90.02116030277148,91.02401879069086,84.52230316278437,88.95289549167393,77.55,Direct Debit,Network Costs,,,,791.4053570333904,989.3661120716071,9.8%,7.84%
Electricity Multi-Register,BSUoS,Unit Rate,0.0,0.0,0.0,91.79350671669974,94.6644866647347,94.6644866647347,43.28287023064704,35.32518945438796,56.428940479451015,56.428940479451015,50.144003331642985,50.144003331642985,73.08948816317901,69.01370686234785,60.57656050242355,52.81,Direct Debit,Network Costs,,,,791.4053570333904,989.3661120716071,6.67%,5.34%
Electricity Multi-Register,CO,Unit Rate,,,,,,,,,,,,,,,,49.33,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,791.4053570333904,989.3661120716071,6.23%,4.99%
Electricity Multi-Register,DRC,Unit Rate,,,,,,,,,,,,,,,,24.85,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,791.4053570333904,989.3661120716071,3.14%,2.51%
Electricity Multi-Register,EBIT,Unit Rate,,,,,,,,,,,,,,,,19.26,Direct Debit,OPEX,Jul 2026 - Sept 2026,2026-07-01,2026-09-01,791.4053570333904,989.3661120716071,2.43%,1.95%
